nome,email,whatsapp,instagram,periodo,sessao
Marcos Correia Silva,marcos.correia950@email.com,(41) 93932-1984,marcoscor321,11,D1-tarde
Érica Moreira Melo,érica.moreira790@email.com,(11) 98227-1657,éricamor553,9,D1-tarde
Bianca Ramos Rodrigues,bianca.ramos977@email.com,(41) 91092-6886,biancaram140,2,D2-tarde
Heloísa Santos Nunes,heloísa.santos396@email.com,(51) 93528-1134,heloísasan809,9,D1-manha
Juliana Costa Correia,juliana.costa696@email.com,(21) 97194-2744,julianacos691,5,D1-tarde
Oscar Oliveira Campos,oscar.oliveira363@email.com,(71) 97523-2674,oscaroli664,1,D1-tarde
Juliana Pereira Lopes,juliana.pereira994@email.com,(11) 98459-3768,julianaper509,4,D1-manha
Sabrina Oliveira Araújo,sabrina.oliveira777@email.com,(31) 92050-5797,sabrinaoli429,2,D2-tarde
José Ferreira Ribeiro,josé.ferreira203@email.com,(81) 91209-4443,joséfer874,10,D1-manha
Amanda Pereira Pinto,amanda.pereira127@email.com,(11) 98974-3287,amandaper939,3,D1-tarde
Giovana Azevedo Moreira,giovana.azevedo329@email.com,(21) 91902-5346,giovanaaze663,11,D1-manha
Pedro Campos Lima,pedro.campos718@email.com,(11) 95696-2637,pedrocam551,7,D1-manha
Débora Ferreira Oliveira,débora.ferreira645@email.com,(31) 97688-7920,déborafer805,7,D1-tarde
Fábio Pinto Fonseca,fábio.pinto90@email.com,(51) 95880-1157,fábiopin231,3,D1-manha
Daniela Nascimento Nascimento,daniela.nascimento76@email.com,(71) 94180-9629,danielanas220,9,D1-manha
Olívia Castro Oliveira,olívia.castro568@email.com,(81) 93493-8942,olíviacas969,8,D2-tarde
Marcos Machado Araújo,marcos.machado472@email.com,(11) 95181-6879,marcosmac720,3,D1-tarde
Daniela Souza Campos,daniela.souza731@email.com,(51) 98134-9831,danielasou743,12,D2-tarde
Mariana Almeida Ribeiro,mariana.almeida570@email.com,(21) 99001-6085,marianaalm48,1,D1-tarde
Helena Rocha Fonseca,helena.rocha723@email.com,(41) 96043-2140,helenaroc875,5,D1-manha
Otávio Correia Pereira,otávio.correia69@email.com,(41) 99900-9755,otáviocor868,11,D1-tarde
Elena Santos Nunes,elena.santos63@email.com,(51) 95364-2366,elenasan108,1,D1-manha
Matheus Moreira Pires,matheus.moreira97@email.com,(71) 97868-7522,matheusmor538,8,D1-tarde
Vitória Freitas Ramos,vitória.freitas453@email.com,(81) 96463-7115,vitóriafre945,8,D2-tarde
Talita Pires Mendes,talita.pires331@email.com,(21) 95676-6630,talitapir293,4,D2-tarde
Diego Campos Barbosa,diego.campos29@email.com,(11) 96908-1458,diegocam287,9,D1-tarde
Henrique Teixeira Campos,henrique.teixeira267@email.com,(41) 94259-4862,henriquetei655,9,D1-tarde
Fábio Correia Teixeira,fábio.correia455@email.com,(11) 92364-8638,fábiocor76,2,D2-tarde
Vinícius Borges Machado,vinícius.borges111@email.com,(81) 99398-9422,viníciusbor422,11,D2-tarde
Lucas Campos Nunes,lucas.campos246@email.com,(41) 99986-9667,lucascam269,11,D2-tarde
Leonardo Rocha Duarte,leonardo.rocha241@email.com,(51) 99987-2618,leonardoroc205,7,D1-tarde
Wagner Souza Melo,wagner.souza140@email.com,(71) 93256-3058,wagnersou199,5,D1-tarde
Isabela Vieira Araújo,isabela.vieira541@email.com,(61) 96412-5546,isabelavie35,2,D2-tarde
Sabrina Martins Souza,sabrina.martins777@email.com,(41) 91843-1727,sabrinamar294,7,D1-tarde
Igor Lima Monteiro,igor.lima692@email.com,(21) 99946-7209,igorlim688,12,D1-tarde
Larissa Nunes Lopes,larissa.nunes999@email.com,(21) 92644-5495,larissanun437,8,D2-tarde
Isabela Campos Costa,isabela.campos597@email.com,(61) 96757-4733,isabelacam912,4,D1-tarde
Elena Machado Monteiro,elena.machado56@email.com,(71) 91060-1726,elenamac949,9,D2-tarde
Samuel Machado Pinto,samuel.machado291@email.com,(21) 97246-8014,samuelmac796,12,D1-tarde
Gabriela Barbosa Pereira,gabriela.barbosa814@email.com,(81) 91604-6044,gabrielabar50,11,D1-manha
Clara Castro Teixeira,clara.castro980@email.com,(81) 99168-7358,claracas555,6,D2-tarde
Natália Rodrigues Freitas,natália.rodrigues929@email.com,(61) 93001-1089,natáliarod414,11,D1-manha
Oscar Ribeiro Oliveira,oscar.ribeiro315@email.com,(21) 99172-4893,oscarrib445,2,D1-manha
Elena Freitas Rocha,elena.freitas822@email.com,(81) 97427-2124,elenafre638,3,D2-tarde
Hugo Teixeira Castro,hugo.teixeira370@email.com,(31) 96233-6024,hugotei419,3,D2-tarde
Vitória Pinto Lima,vitória.pinto749@email.com,(81) 91487-2572,vitóriapin902,6,D1-tarde
Igor Azevedo Teixeira,igor.azevedo440@email.com,(71) 96899-2390,igoraze805,7,D2-tarde
João Martins Vieira,joão.martins885@email.com,(31) 98080-7141,joãomar417,1,D1-tarde
Kevin Melo Costa,kevin.melo42@email.com,(71) 95197-7466,kevinmel833,5,D1-tarde
Daniel Campos Correia,daniel.campos801@email.com,(51) 94114-7511,danielcam807,10,D2-tarde
Rafael Pereira Cardoso,rafael.pereira977@email.com,(61) 96110-4472,rafaelper742,3,D1-tarde
Fábio Ribeiro Ramos,fábio.ribeiro124@email.com,(21) 99929-5128,fábiorib548,11,D2-tarde
Sabrina Machado Correia,sabrina.machado938@email.com,(51) 95726-7009,sabrinamac242,6,D1-manha
Vitória Oliveira Azevedo,vitória.oliveira856@email.com,(51) 93336-2206,vitóriaoli743,4,D1-manha
Matheus Barbosa Castro,matheus.barbosa27@email.com,(21) 99705-5670,matheusbar881,9,D1-manha
Larissa Borges Nunes,larissa.borges874@email.com,(61) 95125-8794,larissabor610,10,D1-tarde
Beatriz Martins Moreira,beatriz.martins711@email.com,(21) 92164-9146,beatrizmar528,5,D1-manha
Vinícius Nunes Silva,vinícius.nunes698@email.com,(81) 96863-7068,viníciusnun288,2,D1-manha
Vinícius Araújo Machado,vinícius.araújo765@email.com,(21) 96250-4892,viníciusara381,12,D2-tarde
Mariana Fonseca Carvalho,mariana.fonseca398@email.com,(11) 99579-5234,marianafon196,5,D1-manha
Rafaela Silva Melo,rafaela.silva352@email.com,(51) 97679-3204,rafaelasil918,6,D2-tarde
Paulo Rodrigues Rodrigues,paulo.rodrigues201@email.com,(21) 92556-2208,paulorod689,9,D1-tarde
Úrsula Araújo Moreira,úrsula.araújo709@email.com,(61) 97287-4435,úrsulaara988,10,D1-tarde
Lucas Santos Lopes,lucas.santos128@email.com,(71) 98577-2552,lucassan708,12,D1-tarde
Nathalia Borges Azevedo,nathalia.borges514@email.com,(71) 93186-5358,nathaliabor863,8,D2-tarde
Sérgio Ferreira Ribeiro,sérgio.ferreira412@email.com,(61) 92010-9928,sérgiofer810,12,D1-manha
Ingrid Gomes Lima,ingrid.gomes477@email.com,(31) 98224-5988,ingridgom557,8,D1-manha
Bianca Nascimento Rodrigues,bianca.nascimento60@email.com,(31) 91567-9134,biancanas617,10,D2-tarde
Arthur Cardoso Ferreira,arthur.cardoso190@email.com,(61) 93065-8631,arthurcar608,3,D2-tarde
Olívia Moreira Silva,olívia.moreira162@email.com,(81) 91935-5484,olíviamor631,9,D1-tarde
Patrícia Oliveira Nunes,patrícia.oliveira860@email.com,(71) 97138-8202,patríciaoli397,12,D1-tarde
Daniela Rocha Araújo,daniela.rocha604@email.com,(11) 94730-8482,danielaroc184,5,D2-tarde
Caio Costa Mendes,caio.costa965@email.com,(81) 94580-8330,caiocos621,1,D1-manha
Marcos Teixeira Ribeiro,marcos.teixeira896@email.com,(11) 98459-3175,marcostei479,3,D1-manha
Larissa Freitas Nascimento,larissa.freitas503@email.com,(31) 98678-2285,larissafre428,2,D2-tarde
Ana Mendes Nunes,ana.mendes676@email.com,(51) 91320-2029,anamen336,9,D1-manha
Matheus Lopes Martins,matheus.lopes998@email.com,(41) 94110-7028,matheuslop9,3,D1-manha
Samuel Teixeira Fonseca,samuel.teixeira258@email.com,(81) 96291-9610,samueltei515,8,D1-manha
Ana Ferreira Nascimento,ana.ferreira30@email.com,(61) 99642-2589,anafer676,11,D2-tarde
Clara Fonseca Teixeira,clara.fonseca125@email.com,(71) 99475-9263,clarafon925,1,D1-tarde
Lucas Gomes Ramos,lucas.gomes816@email.com,(11) 96301-3534,lucasgom404,2,D2-tarde
Letícia Gomes Cardoso,letícia.gomes323@email.com,(21) 99726-4875,letíciagom692,3,D2-tarde
Bruno Araújo Nascimento,bruno.araújo737@email.com,(51) 91126-5628,brunoara817,7,D1-manha
Oscar Pereira Ramos,oscar.pereira565@email.com,(71) 96793-5965,oscarper397,11,D1-tarde
Karla Nunes Barbosa,karla.nunes360@email.com,(31) 97497-2866,karlanun365,11,D1-tarde
Karla Pereira Rodrigues,karla.pereira507@email.com,(81) 97944-4487,karlaper50,9,D1-manha
Oscar Souza Correia,oscar.souza423@email.com,(11) 92264-9514,oscarsou357,10,D2-tarde
André Lopes Rodrigues,andré.lopes530@email.com,(71) 92365-3797,andrélop356,11,D1-tarde
Nathalia Pinto Rodrigues,nathalia.pinto699@email.com,(31) 99024-6159,nathaliapin367,8,D1-manha
Otávio Freitas Borges,otávio.freitas734@email.com,(61) 92551-1351,otáviofre907,4,D2-tarde
Jéssica Oliveira Rocha,jéssica.oliveira221@email.com,(51) 95307-1521,jéssicaoli599,4,D1-manha
Matheus Mendes Cardoso,matheus.mendes223@email.com,(11) 95305-6037,matheusmen165,5,D2-tarde
Bianca Ferreira Mendes,bianca.ferreira491@email.com,(41) 99391-6306,biancafer597,6,D1-tarde
Rômulo Pires Silva,rômulo.pires275@email.com,(41) 92873-3184,rômulopir53,8,D1-tarde
Letícia Souza Oliveira,letícia.souza890@email.com,(41) 91284-5835,letíciasou765,1,D1-manha
Sofia Lopes Nascimento,sofia.lopes167@email.com,(41) 92174-1170,sofialop713,12,D1-manha
Enzo Castro Borges,enzo.castro726@email.com,(61) 99539-1134,enzocas193,2,D1-tarde
Lucas Ramos Fonseca,lucas.ramos335@email.com,(81) 94072-9858,lucasram225,4,D1-tarde
Bernardo Castro Oliveira,bernardo.castro857@email.com,(41) 95468-4133,bernardocas761,7,D1-manha
Marcos Ramos Souza,marcos.ramos981@email.com,(31) 96387-2338,marcosram237,1,D1-tarde
Fernanda Barbosa Cardoso,fernanda.barbosa522@email.com,(11) 91389-5489,fernandabar243,12,D1-manha
Amanda Martins Pinto,amanda.martins674@email.com,(11) 97067-4521,amandamar609,10,D2-tarde
Juliana Freitas Freitas,juliana.freitas496@email.com,(11) 91448-4285,julianafre211,10,D1-manha
Sérgio Rodrigues Nunes,sérgio.rodrigues296@email.com,(61) 98200-1452,sérgiorod407,7,D1-tarde
Otávio Lopes Cardoso,otávio.lopes22@email.com,(21) 91771-6531,otáviolop689,7,D1-manha
Ingrid Correia Mendes,ingrid.correia170@email.com,(31) 99876-2234,ingridcor226,12,D1-tarde
Oscar Moreira Ramos,oscar.moreira892@email.com,(21) 93671-7219,oscarmor478,11,D2-tarde
Nathalia Mendes Vieira,nathalia.mendes744@email.com,(71) 91671-8241,nathaliamen309,3,D2-tarde
Karla Castro Rodrigues,karla.castro93@email.com,(21) 98272-2930,karlacas372,4,D1-manha
Nicolas Ribeiro Ferreira,nicolas.ribeiro780@email.com,(31) 98986-5462,nicolasrib607,4,D1-tarde
Ingrid Ferreira Teixeira,ingrid.ferreira136@email.com,(71) 96310-8989,ingridfer241,5,D1-manha
Heloísa Silva Cunha,heloísa.silva815@email.com,(41) 92751-3037,heloísasil751,8,D1-manha
Diego Moreira Mendes,diego.moreira354@email.com,(21) 99417-6488,diegomor273,1,D1-tarde
Matheus Souza Freitas,matheus.souza977@email.com,(61) 94132-2940,matheussou711,8,D1-manha
Marcos Cunha Duarte,marcos.cunha947@email.com,(11) 93251-5267,marcoscun482,12,D1-manha
André Cardoso Carvalho,andré.cardoso18@email.com,(11) 94105-3757,andrécar557,7,D2-tarde
Gustavo Machado Gomes,gustavo.machado310@email.com,(41) 91743-6531,gustavomac911,12,D1-manha
Caio Nunes Monteiro,caio.nunes197@email.com,(81) 93104-8603,caionun483,8,D1-tarde
Larissa Pires Costa,larissa.pires887@email.com,(21) 92764-5654,larissapir701,8,D2-tarde
Giovana Nunes Nascimento,giovana.nunes147@email.com,(71) 99317-5715,giovananun693,2,D1-tarde
Mariana Nascimento Rodrigues,mariana.nascimento887@email.com,(31) 96880-2528,mariananas654,5,D1-manha
Eduardo Vieira Cunha,eduardo.vieira392@email.com,(61) 96211-6447,eduardovie228,9,D1-manha
Ingrid Teixeira Gomes,ingrid.teixeira532@email.com,(11) 98325-9951,ingridtei396,9,D2-tarde
Elena Ferreira Rodrigues,elena.ferreira435@email.com,(31) 99680-2942,elenafer667,8,D1-manha
Patrícia Duarte Lima,patrícia.duarte948@email.com,(41) 94941-9354,patríciadua713,5,D1-tarde
Tatiana Campos Fonseca,tatiana.campos563@email.com,(71) 96782-8910,tatianacam663,6,D2-tarde
Lucas Nunes Melo,lucas.nunes835@email.com,(71) 95788-6554,lucasnun951,4,D1-manha
Leonardo Ribeiro Almeida,leonardo.ribeiro666@email.com,(31) 92824-7545,leonardorib766,4,D2-tarde
Bernardo Castro Moreira,bernardo.castro631@email.com,(51) 99584-4700,bernardocas8,12,D1-tarde
Jéssica Souza Vieira,jéssica.souza156@email.com,(71) 92246-3919,jéssicasou796,9,D1-manha
Fernanda Pires Costa,fernanda.pires864@email.com,(81) 93412-1882,fernandapir901,1,D1-tarde
Patrícia Fonseca Barbosa,patrícia.fonseca310@email.com,(51) 95108-9675,patríciafon928,11,D1-manha
Thiago Machado Rodrigues,thiago.machado308@email.com,(21) 97060-9403,thiagomac934,6,D1-manha
José Nunes Duarte,josé.nunes686@email.com,(11) 96641-9041,josénun973,11,D1-tarde
Carlos Martins Machado,carlos.martins772@email.com,(61) 93948-6654,carlosmar21,5,D1-tarde
Arthur Fonseca Nascimento,arthur.fonseca67@email.com,(51) 93258-5436,arthurfon516,1,D1-manha
Amanda Machado Cunha,amanda.machado118@email.com,(81) 95295-7624,amandamac976,7,D2-tarde
Mariana Machado Martins,mariana.machado754@email.com,(51) 99347-2041,marianamac956,1,D1-manha
Fernanda Borges Correia,fernanda.borges248@email.com,(31) 96812-2348,fernandabor89,8,D1-tarde
Matheus Mendes Costa,matheus.mendes162@email.com,(31) 99079-8447,matheusmen729,7,D1-manha
Elena Cardoso Ribeiro,elena.cardoso722@email.com,(21) 92069-9142,elenacar246,7,D2-tarde
Gabriel Rocha Pires,gabriel.rocha464@email.com,(11) 92164-9463,gabrielroc24,8,D1-manha
Ivan Castro Borges,ivan.castro465@email.com,(31) 94909-1062,ivancas465,6,D2-tarde
Ingrid Oliveira Castro,ingrid.oliveira372@email.com,(71) 93122-9118,ingridoli916,1,D1-tarde
Fernanda Araújo Teixeira,fernanda.araújo394@email.com,(21) 93940-1551,fernandaara533,9,D1-manha
Sabrina Castro Araújo,sabrina.castro418@email.com,(31) 94123-8127,sabrinacas49,6,D1-manha
Karla Campos Azevedo,karla.campos627@email.com,(21) 91504-7094,karlacam489,7,D2-tarde
Rafael Barbosa Vieira,rafael.barbosa979@email.com,(41) 95914-8003,rafaelbar379,8,D1-tarde
João Oliveira Pereira,joão.oliveira706@email.com,(61) 98068-7678,joãooli432,9,D1-manha
Fernanda Campos Lopes,fernanda.campos781@email.com,(71) 94430-9758,fernandacam409,2,D2-tarde
Carlos Barbosa Teixeira,carlos.barbosa178@email.com,(21) 91827-1090,carlosbar927,10,D1-tarde
Vanessa Ribeiro Souza,vanessa.ribeiro435@email.com,(11) 97521-8471,vanessarib38,12,D1-tarde
Matheus Borges Moreira,matheus.borges821@email.com,(71) 93654-8182,matheusbor990,6,D1-manha
Paulo Pires Lima,paulo.pires854@email.com,(61) 92732-3892,paulopir116,7,D1-manha
Sérgio Rocha Correia,sérgio.rocha505@email.com,(11) 99174-1576,sérgioroc962,1,D2-tarde
Fernanda Vieira Oliveira,fernanda.vieira164@email.com,(21) 98913-2227,fernandavie9,2,D2-tarde
Eduardo Nascimento Cunha,eduardo.nascimento23@email.com,(21) 98663-8295,eduardonas427,9,D2-tarde
Érica Borges Fonseca,érica.borges775@email.com,(21) 93573-6341,éricabor152,11,D1-tarde
André Fonseca Cardoso,andré.fonseca769@email.com,(41) 97340-2070,andréfon618,2,D2-tarde
Nathan Azevedo Castro,nathan.azevedo633@email.com,(71) 95771-3296,nathanaze510,5,D1-manha
José Fonseca Gomes,josé.fonseca61@email.com,(71) 97890-4596,joséfon869,10,D1-tarde
Sérgio Silva Fonseca,sérgio.silva20@email.com,(61) 94506-9318,sérgiosil859,2,D1-manha
